item_id,cefr_grade,learning_focus,text_sample,language_analysis.token_count,language_analysis.distinct_tokens,language_analysis.grammatical_complexity,language_analysis.sentence_structure,language_analysis.avg_words_per_sentence,skill_assessment.function_type,skill_assessment.cognitive_level,skill_assessment.interaction_mode,pedagogical_info.learning_outcome,pedagogical_info.teaching_context,pedagogical_info.assessment_type,technical_details.creation_date,technical_details.dataset_version,technical_details.processing_model
A1_001,A1,giving instructions,"To give instructions, first, you must speak clearly. Then, show the person what to do step by step. Use simple words and gestures. Make sure they understand before moving on. Finally, ask if they have any questions. Giving instructions is easy when you take it slowly.",46,43,2,6,7.666666666666667,interpersonal,foundational,receptive,comprehension,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_002,A1,making suggestions,"If you want to make a suggestion, you can say ""Let's"" or ""Why don't we"" before your idea. For example, ""Let's go for a walk in the park"" or ""Why don't we watch a movie together?"" This way, you can share your ideas with others and make plans together. Making suggestions is a great way to have fun with friends and family.",62,47,1,4,15.5,interpersonal,foundational,productive,production,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_003,A1,expressing agreement,"I agree with you. Yes, that's right. I think so too. I agree with what you said. I also think that. I agree with that idea. I agree with your opinion.",31,19,0,7,4.428571428571429,interpersonal,foundational,receptive,interaction,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_004,A1,sharing opinions,I share my opinions with my friends. I say what I think. They listen to me. They tell me their opinions too. We talk together. It is good to share.,30,24,0,6,5.0,interpersonal,foundational,productive,mediation,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_005,A1,making requests,"When you want something, you can say ""Please"" and ask for it. For example, you can say ""Can I have some water, please?"" or ""May I borrow a pen, please?"" It is polite to ask for things nicely.",38,29,0,4,9.5,interpersonal,foundational,receptive,comprehension,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_006,A1,offering help,"I help my friend. I give him my pencil. He says ""thank you."" I feel happy. I like helping others. It is good to be kind.",26,22,1,6,4.333333333333333,interpersonal,foundational,productive,production,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_007,A1,childhood memories,"When I was a child, I played with my friends every day. We ran and laughed in the park. I loved to eat ice cream and play on the swings. My favorite toy was a teddy bear. I remember my birthday parties with cake and balloons. Childhood memories are happy.",50,39,3,6,8.333333333333334,narrative,foundational,receptive,interaction,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_008,A1,travel adventures,I go on trips. I see new places. I take photos. I try new foods. I meet new people. I have fun. Travel is exciting. I like to explore. I learn new things. My adventures are great.,37,27,0,10,3.7,narrative,foundational,productive,mediation,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_009,A1,career goals,I want to be a teacher. I teach children. I help them learn. I work in a school. I like to help people. I like to make a difference. I am happy when I teach.,35,22,0,7,5.0,narrative,foundational,receptive,comprehension,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_010,A1,learning experiences,"Learning experiences are important. I learn new things every day. I study English to improve my skills. I listen, speak, read, and write. I practice with my friends. I make mistakes, but I keep trying. I feel happy when I learn something new. Learning is fun!",46,36,3,8,5.75,narrative,foundational,productive,production,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
