sample_id,cefr_level,category,content,word_count,language,content_type,difficulty
A1_1,A1,pets and animals,I have a dog. He is small and brown. His name is Max. Max likes to run and play. He eats dog food. I love my dog. Dogs are good pets. Cats are also good pets. They can be fluffy and cute. I like animals.,45,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_2,A1,music and instruments,I like music. I play guitar. Guitar makes sound. I play drums too. Drums are loud. I like to listen to music. Music is fun. I like instruments.,28,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_3,A1,science and discoveries,Scientists study many things. They learn about the world. They find new things. They make discoveries. Discoveries help us understand the world better. Science is important.,26,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_4,A1,books and literature,Books are fun to read. They tell stories. I like to read books about animals. I read books every day. I have many books at home. Reading makes me happy. I love books and literature.,35,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_5,A1,movies and cinema,I like to watch movies at the cinema. The cinema has big screens. I buy a ticket and popcorn. I sit in a comfy seat. The movie starts. I watch the actors on the screen. I enjoy the movie.,39,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_6,A1,cars and vehicles,Cars are vehicles. They have wheels. They go fast. People drive cars. Cars need gas. Some cars are red. Some cars are blue. My car is white. I like cars.,30,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_7,A1,photography,Photography is fun. I take pictures. I use a camera. I like to capture moments. I take photos of my friends. I like to look at my pictures. I show them to others. Photography is a hobby.,37,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_8,A1,space and astronomy,The sun is a big star. It is very hot. Earth goes around the sun. The moon goes around Earth. We can see stars at night. Telescopes help us see far away. Space is very big. It is interesting to learn about space.,43,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_9,A1,architecture,I like buildings. Buildings are big. Buildings are tall. Buildings have windows. Buildings have doors. Buildings have roofs. Buildings are made of bricks. Buildings are made of concrete. Buildings are everywhere. Buildings are important. Buildings are nice to look at. I like architecture.,43,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_10,A1,business and finance,Businesses make money by selling products or services to customers. They need to make a profit to stay open. Finance is about managing money. Companies need to budget carefully to pay for things like rent and supplies. It is important for businesses to keep track of their expenses and income.,50,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_11,A1,pets and animals,I have a pet cat. She is black and white. Her name is Mittens. Mittens likes to play with yarn and sleep in the sun. I feed her every day. I love my cat very much.,36,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_12,A1,music and instruments,I like music. I play the piano. The piano makes sound. I hit the keys. The keys are black and white. I make music with the piano. Music is fun.,30,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_13,A1,science and discoveries,Science is studying the world. Scientists make discoveries. They learn new things. They use tools like microscopes. They observe and test. They find answers to questions. Discoveries help us understand the world better.,33,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_14,A1,books and literature,Books are good. I like to read. I read many books. Books have stories. Stories are fun. I read before bed. I like to read in my room. Books are good for learning. I like books.,36,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_15,A1,movies and cinema,I watch movies at the cinema. I like action movies. My friend likes comedies. We buy popcorn and soda at the movies. The screen is big. The sound is loud. I have fun at the movies.,36,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_16,A1,cars and vehicles,"Cars are vehicles. They have four wheels. You can drive a car. Cars need gas to run. Some cars are red, some are blue. Cars are fast. I like cars.",30,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_17,A1,photography,Photography is fun. I take pictures. I use a camera. I like to capture moments. I take photos of my friends. I like to take pictures of nature. I enjoy photography.,31,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_18,A1,space and astronomy,Space is big. Stars are in the sky. The sun is hot. Planets go around the sun. Astronauts go to space. Telescopes help us see stars. Space is interesting. I like space.,32,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_19,A1,architecture,"Architecture is the design of buildings. Architects make plans for how buildings will look and be built. They use materials like bricks and wood. Buildings can be big or small, old or new. People live, work, and play in buildings. Some buildings are very tall, like skyscrapers. Architecture is important because it shapes our cities and towns.",57,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_20,A1,business and finance,Business is important. People buy and sell things. Money is needed. Companies make products. People work for money. Banks keep money safe. It is important to save money. Businesses make a profit. Finance helps businesses grow. Businesses need customers. Customers buy products. This helps businesses succeed.,46,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_21,A1,pets and animals,"Pets are animals that people keep at home. They give love and company. Dogs and cats are common pets. Dogs like to play and go for walks. Cats like to sleep and play with toys. Pets need food, water, and love. It's important to take care of pets.",48,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_22,A1,music and instruments,I like music. I play guitar. My friend plays drums. We make music together. I listen to songs. I like the sound of instruments. Music makes me happy.,28,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_23,A1,science and discoveries,"Scientists discover new things. They study plants, animals, and stars. They find out how things work. They learn about the world. Discoveries help us understand the world better. Science is important for learning.",33,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_24,A1,books and literature,Books are fun. I like to read. I read books every day. Books have stories. I like stories. Stories make me happy. I have many books. I read before bed. Reading is good. Books are important. I love books.,39,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_25,A1,movies and cinema,I love movies. I watch movies at the cinema. I buy popcorn at the cinema. The movie is fun. The movie is exciting. I watch movies with my friends. My favorite movie is about superheroes. I want to watch more movies.,41,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_26,A1,cars and vehicles,Cars are vehicles. They have four wheels. They can go fast. Some cars are red. Some cars are blue. I like cars. My dad drives a car. I want a car too.,32,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_27,A1,photography,"Photography is fun. I take photos with my camera. I like to capture moments. I see something nice, I take a picture. I like to share my photos with friends. I learn more about photography every day. I want to be a better photographer.",44,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_28,A1,space and astronomy,Space is big. Stars are bright. The sun is hot. Astronauts float in space. Telescopes see planets. The moon is near. Rockets go up. Space is interesting. People study stars. Space is dark. Many stars twinkle. I like space.,39,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_29,A1,architecture,"Architecture is the design of buildings. Architects plan and create homes, offices, and other structures. They use different materials like bricks and wood. Buildings have doors and windows. They also have roofs to protect people from the weather. Architecture is important for cities and communities.",45,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_30,A1,business and finance,Business and finance are important for making money. People start businesses to sell things and make a profit. They need to buy and sell products to earn money. Companies also need to make a budget to plan how they will spend their money. It is important for businesses to make good financial decisions to be successful.,56,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_31,A1,pets and animals,"Pets are animals that people keep at home. They can be dogs, cats, birds, or fish. Pets need food, water, and love to be happy. Animals in the wild live in nature. They find their own food and water. Some animals are big, like elephants, and some are small, like mice. Animals are important for the environment.",57,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_32,A1,music and instruments,I like music. I play the guitar. The guitar has six strings. I strum the strings. The sound is nice. I practice every day. I want to be a good musician. Music makes me happy.,35,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_33,A1,science and discoveries,"Science helps us learn about the world. Scientists make discoveries every day. They study plants, animals, and the sky. They use tools like microscopes and telescopes. They find new medicines and inventions. Science is important for our future.",38,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_34,A1,books and literature,Books are fun to read. I like to read stories. Stories take me to new places. I read books about animals and adventures. I learn new words from books. I read before bedtime. I like to read with my family.,40,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_35,A1,movies and cinema,I like to watch movies at the cinema. I go with my friends or family. We buy popcorn and drinks. The movie is on a big screen. We sit in comfy seats. We watch the movie and have fun. I like action movies the best.,45,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_36,A1,cars and vehicles,Cars are vehicles. They have wheels. They go fast. Some cars are red. Some cars are blue. Cars need gas to run. People drive cars. I like cars.,28,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_37,A1,photography,Photography is taking pictures with a camera. I use my phone to take photos. I like to take pictures of my family and friends. I press a button to take a photo. It is fun to look at the pictures later. I want to learn more about photography.,48,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_38,A1,space and astronomy,Space is very big. Stars are in space. The sun is a star. The moon is in space too. Astronomers study space. They look at stars and planets. Space is very interesting.,32,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_39,A1,architecture,Architecture is the design of buildings. Architects draw plans. They use materials like brick and wood. Buildings have doors and windows. They can be tall or short. Some buildings are old. Others are new. People live and work in buildings. Architecture is important in cities.,45,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_40,A1,business and finance,Business involves buying and selling things. Companies make money by selling products or services. Finance is about managing money. People use finance to budget and make decisions about spending. It is important for businesses to have good finance to be successful.,41,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_41,A1,pets and animals,I like pets. Pets are animals. I have a dog. My dog is small. My dog is brown. I feed my dog every day. My dog likes to play. Pets are fun. I love my pet.,36,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_42,A1,music and instruments,I like music. I play the guitar. The guitar makes sounds. I also listen to music. My favorite instrument is the piano. The piano is big. I want to learn how to play the piano.,35,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_43,A1,science and discoveries,"Scientists study many things. They learn about animals, plants, and stars. They discover new things every day. The discoveries help us understand the world better. Science is important for finding cures for diseases and making new inventions.",37,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_44,A1,books and literature,Books are fun to read. I like to read stories. Stories can make me happy. I read books every day. I learn new things from books. Reading is good for my brain. I love to read!,36,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_45,A1,movies and cinema,I watch movies at the cinema. I like action movies. I go with my friends. We eat popcorn. The movie starts at 7 PM. The cinema is big. I buy a ticket. It costs $10. I sit in a comfy seat. The screen is huge. I enjoy the movie.,49,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_46,A1,cars and vehicles,"Cars are vehicles. They have four wheels. They can go fast. Cars need gas to run. People drive cars. Cars have seats inside. Some cars are red, some are blue. I like cars.",33,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_47,A1,photography,Photography is fun. I take pictures. I use a camera. I like to capture moments. I take photos of my family. I take photos of my friends. I like to look at the pictures later. I am learning about photography.,40,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_48,A1,space and astronomy,Space is very big. Stars are very bright. The sun is a star. Planets go around the sun. Earth is a planet. The moon is our planet's friend. People study space and stars. Astronomy is interesting.,36,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_49,A1,architecture,"Architecture is the design of buildings. Architects draw plans for houses, schools, and offices. They use materials like wood, stone, and metal. Buildings have doors, windows, and roofs. People live and work in buildings. Architecture is important for cities and towns.",41,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_50,A1,business and finance,"Businesses make money by selling products or services. They use this money to pay for things like rent, employees, and supplies. Finance is about managing this money well. Businesses need to make sure they have enough money coming in to cover their expenses. If they don't, they may have to borrow money or make cuts to stay afloat. It's important for businesses to keep track of their finances to be successful.",71,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_51,A1,pets and animals,I have a pet cat. She is black and white. She likes to sleep in the sun. I give her food and water every day. She is my friend. I love my cat.,33,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_52,A1,music and instruments,I like music. I play the guitar. I also play the piano. The guitar has strings. The piano has keys. I listen to music every day. Music makes me happy.,30,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_53,A1,science and discoveries,"Scientists study many things. They look at plants, animals, and stars. They want to learn new things. They make discoveries. Discoveries help us understand the world. Scientists work hard every day. They are very smart.",35,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_54,A1,books and literature,I like to read books. Books are interesting. I read them at home. I read before bed. I like stories. Stories are fun. I learn new words from books. Books are good.,32,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_55,A1,movies and cinema,I like to watch movies at the cinema. The cinema has big screens and comfy seats. I watch action movies and comedies. Popcorn is my favorite snack at the cinema. I go to the cinema with my friends on weekends. We have a lot of fun watching movies together.,49,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_56,A1,cars and vehicles,Cars are vehicles. They have four wheels. People drive cars. Cars go fast. Some cars are red. Some cars are blue. Cars are useful. I like cars.,27,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_57,A1,photography,Photography is taking pictures with a camera. We use cameras to capture moments. Many people like to take photos of their friends and family. Some people take pictures of nature or animals. It is fun to look at photos and remember happy times.,43,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_58,A1,space and astronomy,Space is very big. There are many stars and planets. We can see them in the sky at night. Scientists study space and learn new things. People travel to space in rockets. Space is interesting and beautiful.,37,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
